"Description","Compatible_printers","code","UPC","Stock","Part_num","color","brand","yield","type","comments","ean"
"NavePoint Cat6 (CCA)  500ft  Blue  Solid Bulk Ethernet Cable  550MHz  23AWG 4 Pair  Unshielded Twisted Pair (UTP)","","00301113","813770023793","1","00301113","Burgundy","NavePoint","","","","0813770023793"
"VIVO 250ft bulk Cat6 Ethernet Cable / Wire UTP Pull Box 250 ft Cat-6 White LAN","","CABLE-V015W","810080412040","1","CABLE-V015W","White","Vivo","","","","0810080412040"
"NETGEAR Nighthawk C7000 - Wireless router - cable mdm - 4-port switch - GigE - 802.11a/b/g/n/ac - Dual Band","","Netgear","606449133509","1","Netgear","Black","NETGEAR","","","","0606449133509"
"NETGEAR - Nighthawk AX6000 Wi-Fi 6 Router","","RAX120-100NAS","606449134766","1","RAX120-100NAS","Brown","NETGEAR","","","","0606449134766"
"Comptia Cloud+ Certification All-In-One Exam Guide (Exam Cv0-003) (Paperback)","",,,"1",,,,"","","","9781264264872"
"Linux for Beginners : A Practical and Comprehensive Guide to Learn Linux Operating System and Master Linux Command Line. Contains Self-Evaluation Test","",,,"1",,,,"","","","9781671228085"
"Cybersecurity - by Erdal Ozkaya (Paperback)","",,,"1",,,,"","","","9781789616194"
"Companion Guide: Routing and Switching Essentials V6 Companion Guide (Hardcover)","",,,"1",,,,"","","","9781587134289"
"Murach's MySQL (3rd Edition) - by Joel Murach (Paperback)","",,,"1",,,,"","","","9781943872367"
"Cable Matters 3-Pack USB 2.0 A to B USB Printer Cable - 6 Feet - Available 3FT - 15FT in Length","","0008115981527","081159815271","1","0008115981527","Blue","Cable Matters","","","","0081159815271"
"Hdmi Cables 2-pack Ultra Thin (ultra Slim Cable) 4k Rated With Ethernet 10 Feet","","","818707023327","1","","","Cable Matters","","","","0818707023327"
"Lab Companion: Routing and Switching Essentials V6 Labs & Study Guide (Paperback)","",,,"1",,,,"","","","9781587134265"
"Lab Companion: Introduction to Networks V6 Labs & Study Guide (Paperback)","",,,"1",,,,"","","","9781587133619"
"Dust-Off Falcon Compressed Gas Duster (10 oz. 4 Pack)","","642421","086216117947","1","642421","Black","Dust-Off","","","","0086216117947"
"Wyze - Solar Panel - White","","WSP2W","850025015301","1","WSP2W","White  Black","Wyze","","","","0850025015301"
"Intel - Core i5-12400 12th Generation - 6 Core - 12 Thread - 2.5 to 4.4 GHz - LGA1700 - Desktop Processor - Grey/Black/Gold","","BX8071512400","735858503020","1","BX8071512400","Multicolor","Intel","","","","0735858503020"
"Netgear GS308 Ethernet Switch","","GS308-300PAS","606449140132","1","GS308-300PAS","Black","NETGEAR","","","","0606449140132"
"Old Spice Body Wash for Men  Krakengard  Long Lasting Lather  30 FL OZ","","00037000695394","037000695394","2","00037000695394","","Old Spice","","","","0037000695394"
"AmazonBasics 16/3 Vinyl Outdoor Extension Cord - 100 Feet (Orange)","","KT101","841710105407","1","KT101","Orange","AmazonBasics","","","","0841710105407"
"9B1YF-0010-004B9 CM MFZ-M2DN-24NP2-R1 Mobius 120P ARGB High Performance Interconnecting Ring Blade Fan&#44; Black","","FZ-M2DN-24NP2-R1","884102099090","2","FZ-M2DN-24NP2-R1","","Cooler Master","","","","0884102099090"
