"description","compatible_printers","code","upc","stock","part_num","color","brand","yield","type","comments","ean"
"Dell C3760 Magenta Toner (3k)","C3760","2GYKF","8.84E+11","0","331-8423","magenta","dell","3000","toner","","8.84E+11"
"Dell c3760 Waste Container","C2660dn,C2665dnf,C3760n,C3760dn,C3765dnf","NTYFD","8.84E+11","12","NTYFD","none","Dell","30000","waste","","8.84E+11"
"S5840 Waste Toner Bottle Dell","s5840","1YP6C","8.84E+11","2","1YP6C","none","dell","","waste","","8.84E+11"
"c3760 Fuser Unit Dell","c3760","MMD8H","8.84E+11","1","MMD8H","none","Dell","","fuser","","8.84E+11"
"5130cdn standard magenta toner","5130cdn","H353R","8.84E+11","2","H353R","Magenta","Dell","","","","8.84E+11"
"5130cdn standard black toner","","F901R","8.84E+11","2","F901R","black","Dell","","","","8.84E+11"
"c3760 black toner - LD compatible","","331-8429","8.44E+11","5","331-8429","Extra HY Black","dell","","","","8.44E+11"
"c3760 magenta toner - LD compatible","","331-8431","8.44E+11","1","331-8431","Extra HY Magenta","dell","","","","8.44E+11"
"5130cdn standard yellow toner","","D607R","8.84E+11","2","D607R","Yellow","Dell","","","","8.84E+11"
"5130cdn cyan standard toner","","G439R","8.84E+11","2","G439R","Cyan","Dell","","","","8.84E+11"
"c3760 magenta toner (5k)","","8JHXC","8.84E+11","1","8JHXC","Magenta","Dell","","","","8.84E+11"
"c3760 magenta toner (3k)","","2GYKF","8.84E+11","1","2GYKF","Magenta","Dell","","","","8.84E+11"
"s3840/s3845 black/key toner (11k)","","1KTWP","8.84E+11","2","1KTWP","Silver","Dell","","","","8.84E+11"
"s3840/s3845 cyan toner (9k)","","G7P4G","8.84E+11","2","G7P4G","Purple","Dell","","","","8.84E+11"
"s3840/s3845 magenta toner (3k)","","JP1YT","8.84E+11","1","JP1YT","Khaki","Dell","","","","8.84E+11"
"s3840/s3845 cyan toner - compatible - N0746","","JP1YT","8.84E+11","2","JP1YT","Khaki","Dell","","","","8.84E+11"
"s3840/s3845 black toner - compatible - N0745 - 593-BCBC - 11k","","JP1YT","8.84E+11","2","JP1YT","Khaki","Dell","","","","8.84E+11"
"s3840/s3845 yellow toner - N0748 593-BCBD - 9k","","JP1YT","8.84E+11","1","JP1YT","Khaki","Dell","","","","8.84E+11"
"s3840/s3845 magenta toner - N0747 - 593-BCBE - 9k","","JP1YT","8.84E+11","1","JP1YT","Khaki","Dell","","","","8.84E+11"
"s5840 cyan toner","","9DJ63","884116214878","2","9DJ63","Gray","Dell","","","","8.84116E+11"
"s5840 yellow toner","","H6VRY","8.84116E+11","1","H6VRY","Gold","Dell","","","","8.84116E+11"
"Dell High Yield Magenta Toner Cartridge (OEM# 593-BBYD) (12,000 Yield) 4CJ0K s5840","","4CJ0K","8.84116E+11","1","4CJ0K","Multi","Dell","","","","8.84116E+11"
"s5840 black toner","","6KV2D","8.84116E+11","1","6KV2D","Gold","Dell","","","","8.84116E+11"
"- Cyan - Original - Tonr Cartrdge - For 1250c  1350c  1350cnw  1355cn  1355cnw  C1760nw  C1765nf  C1765nfw","","YX24V","8.84116E+11","1","YX24V","Cyan","Dell","","","","8.84116E+11"
"- Yellow - Original - Tonr Cartrdge - For 1250c  1350c  1350cnw  1355cn  1355cnw  C1760nw  C1765nf  C1765nfw","","J95NM","8.84116E+11","1","J95NM","Yellow","Dell","","","","8.84116E+11"
"1250/1350/1355/c1760/c1765 black toner","","810WH","8.84116E+11","1","810WH","black","Dell","","","","8.84116E+11"
"1250/1350/1355/c1760/c1765 black toner 700pg","","XKP2P","8.84116E+11","1","XKP2P","Black","Dell","","","","8.84116E+11"
"5130cdn Cyan toner 330-5850 G450R 11k","","G450R","","1","","","dell","","","","6.97148E+12"
"5130cdn Y toner 12k","","F916R","","1","","","dell","","","","6.97148E+12"
"5130cdn black toner 18k","","330-5846","","1","","","dell","","","","6.97148E+12"
"5130cdn cyan toner 12k","","330-5850","","1","","","Premium","","","","6.97148E+12"
"HP 72 130-ml Gray DesignJet Ink Cartridge  C9374A","","HPC9374A","808736779845","1","C9374A","Grey","HP","","","","0808736779845"
"HP 727 Magenta Ink B3P20A","","B3P20A","887111963758","1","B3P20A","Magenta","HP","","","","0887111963758"
"HP 72 Magenta Ink - C9372A","","HPC9372A","808736779807","0","C9372A","Magenta","HP","","","","0808736779807"
"HP 727 Yellow Ink - B3P24A","","B3P24A","887111963796","0","B3P24A","Yellow","HP","","","","0887111963796"
"HP 727 Matte Black Ink - B3P22A","","B3P22A","887111963772","1","B3P22A","Black","HP","","","","0887111963772"
"HP 72 Matte Black Ink - C9403A","","HPC9403A","808736779746","0","C9403A","Black","HP","","","","0808736779746"
"HP 72 Yellow Ink - C9373A","","HPC9373A","808736779821","0","C9373A","Yellow","HP","","","","0808736779821"
"HP 72 Photo Black Ink - C9370A","","HPC9370A","808736779760","1","C9370A","Black","HP","","","","0808736779760"
"HP 72 Cyan Ink - C9371A","","HPC9371A","808736779784","0","C9371A","Cyan","HP","","","","0808736779784"
