description,compatible_printers,code,upc,stock,part_num,color,brand,yield,type,comments,ean
Dell 2665/3760/3765 Waste Container [30k],,NTYFD,884116087878,0,331-8438,null,dell,,,,
Dell 5840 Black Drum U&R [150k],,V4WP3,884116214984,0,593-BBYH,black,dell,,,,
Dell 2830 Black Toner [8.5k],,GGCTW,884116202714,0,593-BBYP,black,dell,,,,
Dell 2360/3460/3465 Toner [8.5k],,M11XH,884116092063,0,331-9805,black,dell,,,,
Dell 5840 Color Drum Kit [150k],,F0K4T,884116215004,0,593-BBYJ,none,dell,,,,
Dell 1130/1135 Black Toner [1.5k],,3J11D,884116039266,0,330-9524,black,dell,,,,
Dell 5530/5535 Black Toner [7k],,MPXDF,884116037606,0,330-9786,black,dell,,,,
Dell 3760/S3840cdn/S3845cdn CMYK Drum [55k],,TWR5P,884116087823,0,331-8434,,dell,,,,
Dell 3760 Black Toner [11k],,W8D60,843964031983,0,331-8429,black,dell,,,,
Dell 2335/2355 Black Toner [6k],,HX756,884116001935,0,330-2209,black,dell,,,,
Dell 3330dn Black Toner [14k],,C233R,884116017295,0,330-5207,black,dell,,,,
Dell 5230/5350 Black Toner [21k],,F362T,884116026785,0,330-6968,black,dell,,,,
Dell 3840/3845 Cyan Toner [9k],,N0746,655257891217 ,0,593-BCBF,cyan,dell,,,,
Dell 3840/3845 Black Toner [11k],,1KTWP,884116206330,0,593-BCBC,black,dell,,,,
Dell 5830 Black Toner U&R [6k],,X68Y8,884116215073,0,593-BBYR,black,dell,,,,
Dell 1350/1760 Cyan Toner [1.4k],,C5GC3,884116098300,0,331-0777,cyan,dell,,,,
Dell 1350/1760 Magenta Toner [1.4k],,XMX5D,884116098294,0,332-0409,magenta,dell,,,,
Dell 2230/Lexmark E260 Drum Unit Black [30k],,STL1004264,718103218030,0,TRE260X22G,black,dell,,,,
Dell 2330/2350 Black Toner [6k],,PK937,884116003717,0,330-2649,black,dell,,,,
Dell 5130 Cyan Toner [12k],,P614N,6971477934904,0,330-5850,cyan,dell,,,,
Dell 5130 Black Toner [18k],,N848N,6971477934911,0,330-5846,black,dell,,,,
Dell 5130 Yellow Toner [23k],,T222N,6971477934935,0,330-5852,yellow,dell,,,,
Dell 5130 Black Toner [9k],,F901R,884116017875,0,330-5851,black,dell,,,,
Dell 5130 Cyan Toner [6k],,G439R,884116017882,0,330-5848,cyan,dell,,,,
Dell 5130 Magenta Toner [6k],,H353R,884116017899,0,330-5845,magenta,dell,,,,
Dell 5130 Yellow Toner [6k],,D607R,884116017905,0,330-5839,yellow,dell,,,,
Dell 5130cdn/5765dn Maintenance Kit [150k],,U164N,884116126027,0,330-5841,null,dell,,,,
Dell 3760/3840 Maint. Kit [100k],,7XDTM,884116087861,0,331-8956,black,dell,,,,
Dell 3840/3845 Yellow Toner [9k],,XMHGR,884116206347,0,593-BCBD,yellow,dell,,,,
Dell 3840/3845 Magenta Toner [9k],,C6DN5,884116206354,0,593-BCBE,magenta,dell,,,,
Dell 5840 Cyan Toner [12k],,9DJ63,884116214878,0,593-BBXY,cyan,dell,,,,
Dell No. Pk496 Imaging Drum Page Life 30000 Pages,,593-10338,5391519472149,0,,null,dell,,,,
Dell - Original Toner Schwarz 21.000 Seiten (593-11049) [euro-version] Hard,,,5397063053728,0,,null,dell,,,,
Dell C17xx/1250/135x Black Std Toner,,XKP2P,5397063226368,0,,black,dell,,,,
Dell 6RVJY Fuser Assembly for B5460dn/B5465dnf Laser Printers,,6RVJY,884116093527,0,,null,dell,,,,
Dell Fuser (110V) (OEM# 331-8436),,MMD8H,884116087847,0,,null,dell,,,,
Dell 1350/1760 Cyan Toner [0.7k],,YX24V,884116098263,0,332-0405,cyan,dell,,,,
Dell 1350/1760 Yellow Toner [0.7k],,J95NM,884116098249,0,332-0406,yellow,dell,,,,
Dell 1350/1760 Yellow Toner [1.4k],,WM2JC,884116098287,0,332-0408,yellow,dell,,,,
Dell 1350/1760 Black Toner [2k],,810WH,884116098270,0,332-0407,black,dell,,,,
Dell 2330/3330 Imaging Drum [30k],,PK496,884116004233,0,330-2646,black,dell,,,,
Dell 2330/2350 Black Toner [6k],,PK941,884116003731,0,330-2650,black,dell,,,,
Dell 3110/3115 Magenta Toner [8k],,RF013,884116000358,0,310-8399,magenta,dell,,,,
Dell 5530/5535 Black Toner [25k],,9GPVM,884116037620,0,330-9787,black,dell,,,,
